dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1761253200,"{'temp': 14.67, 'feels_like': 13.34, 'temp_min': 14.67, 'temp_max': 14.91, 'pressure': 1022, 'sea_level': 1022, 'grnd_level': 967, 'humidity': 44, 'temp_kf': -0.24}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 0},"{'speed': 1.12, 'deg': 129, 'gust': 1.2}",10000,0.0,{'pod': 'd'},2025-10-23 21:00:00,
1761264000,"{'temp': 12.17, 'feels_like': 10.62, 'temp_min': 10.98, 'temp_max': 12.17, 'pressure': 1021, 'sea_level': 1021, 'grnd_level': 967, 'humidity': 45, 'temp_kf': 1.19}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 1},"{'speed': 2.84, 'deg': 112, 'gust': 2.85}",10000,0.0,{'pod': 'n'},2025-10-24 00:00:00,
1761274800,"{'temp': 5.76, 'feels_like': 3.18, 'temp_min': 5.76, 'temp_max': 5.76, 'pressure': 1021, 'sea_level': 1021, 'grnd_level': 968, 'humidity': 49, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 37},"{'speed': 3.35, 'deg': 122, 'gust': 5.22}",10000,0.0,{'pod': 'n'},2025-10-24 03:00:00,
1761285600,"{'temp': 4.77, 'feels_like': 2.09, 'temp_min': 4.77, 'temp_max': 4.77, 'pressure': 1021, 'sea_level': 1021, 'grnd_level': 967, 'humidity': 53, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 45},"{'speed': 3.2, 'deg': 134, 'gust': 7.32}",10000,0.0,{'pod': 'n'},2025-10-24 06:00:00,
1761296400,"{'temp': 2.4, 'feels_like': -0.9, 'temp_min': 2.4, 'temp_max': 2.4, 'pressure': 1021, 'sea_level': 1021, 'grnd_level': 967, 'humidity': 56, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 69},"{'speed': 3.36, 'deg': 146, 'gust': 8.69}",10000,0.0,{'pod': 'n'},2025-10-24 09:00:00,
1761307200,"{'temp': 1.73, 'feels_like': -1.57, 'temp_min': 1.73, 'temp_max': 1.73, 'pressure': 1021, 'sea_level': 1021, 'grnd_level': 967, 'humidity': 60, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 46},"{'speed': 3.18, 'deg': 139, 'gust': 7.34}",10000,0.0,{'pod': 'n'},2025-10-24 12:00:00,
1761318000,"{'temp': 9.73, 'feels_like': 7.26, 'temp_min': 9.73, 'temp_max': 9.73, 'pressure': 1020, 'sea_level': 1020, 'grnd_level': 967, 'humidity': 45, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 11},"{'speed': 4.98, 'deg': 154, 'gust': 9.78}",10000,0.0,{'pod': 'd'},2025-10-24 15:00:00,
1761328800,"{'temp': 15.98, 'feels_like': 14.39, 'temp_min': 15.98, 'temp_max': 15.98, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 966, 'humidity': 29, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 5},"{'speed': 6.72, 'deg': 167, 'gust': 9.03}",10000,0.0,{'pod': 'd'},2025-10-24 18:00:00,
1761339600,"{'temp': 18.57, 'feels_like': 17.19, 'temp_min': 18.57, 'temp_max': 18.57, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 964, 'humidity': 27, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 0},"{'speed': 6.6, 'deg': 166, 'gust': 8.29}",10000,0.0,{'pod': 'd'},2025-10-24 21:00:00,
1761350400,"{'temp': 13.97, 'feels_like': 12.49, 'temp_min': 13.97, 'temp_max': 13.97, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 963, 'humidity': 41, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 1},"{'speed': 6.15, 'deg': 166, 'gust': 12.21}",10000,0.0,{'pod': 'n'},2025-10-25 00:00:00,
1761361200,"{'temp': 10.58, 'feels_like': 9.7, 'temp_min': 10.58, 'temp_max': 10.58, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 965, 'humidity': 77, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",{'all': 15},"{'speed': 5.58, 'deg': 173, 'gust': 11.45}",10000,0.0,{'pod': 'n'},2025-10-25 03:00:00,
1761372000,"{'temp': 9.97, 'feels_like': 7.72, 'temp_min': 9.97, 'temp_max': 9.97, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 964, 'humidity': 87, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 50},"{'speed': 4.58, 'deg': 165, 'gust': 9.01}",10000,0.0,{'pod': 'n'},2025-10-25 06:00:00,
1761382800,"{'temp': 10.69, 'feels_like': 10.11, 'temp_min': 10.69, 'temp_max': 10.69, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 964, 'humidity': 88, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 94},"{'speed': 4.46, 'deg': 172, 'gust': 9.06}",10000,0.0,{'pod': 'n'},2025-10-25 09:00:00,
1761393600,"{'temp': 10.68, 'feels_like': 10.05, 'temp_min': 10.68, 'temp_max': 10.68, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 964, 'humidity': 86, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 97},"{'speed': 3.81, 'deg': 159, 'gust': 7.14}",10000,0.0,{'pod': 'n'},2025-10-25 12:00:00,
